Tama??o vector,Cota inf QSMod,Cota sup QSMod,QSMod experimental,QS teorico,QS experimental
10,39,52,39,28,52
100,7800,1040,663,560,790
1000,117000,15600,9051,8400,10306
10000,1560000,208000,114189,112000,126800
100000,19500000,2600000,1378974,1400000,1504632
1000000,234000000,31200000,16159411,16800000,17416214
10000000,2730000000,364000000,185291843,196000000,197833038
