n,n log(n),Constante q,Constante qmod,Umbral 0,Umbral 13
10,10,5.2,3.9,52,39
100,200,3.95,3.315,790,663
1000,3000,3.435,3.017,10306,9051
10000,40000,3.17,2.854,126800,114189
100000,500000,3.009,2,757,1504632,1378974
1000000,6000000,3.902,2.693,17416214,16159411
10000000,70000000,3.826,2.647,197833038,185291843
