Tama??o vector,Cota inf QSMod,Cota sup QSMod,QSMod experimental,QS teorico,QS experimental
10,25,37.336,25,39.5,39
100,500,746.734,641,790,791
1000,7500,11201.021,10369,11850,11863
10000,100000,149346.956,143123,158000,158148
100000,1250000,1866836.95714,1826696,1975000,1977087
1000000,15000000,22402043.485,22206127,23700000,23712897
10000000,175000000,261357174,261357174,276500000,276648866
