n,n log(n),Constante q,Constante qmod,Umbral 0,Umbral 13
10,10,3.9,2.5,39,25
100,200,3.955,3.205,791,641
1000,3000,3.954,3.456,11863,10369
10000,40000,3.9537,3.578,158148,143123
100000,500000,3.954,3.653,1977087,1826696
1000000,6000000,3.952,3.701,23712897,22206127
10000000,70000000,3.952,3.733,276648866,261357174
